acronym_,expansion,id,text
AC.1,Administrative Committee of the 1958 Agreemen,1,"The WP.29/AC.2 shall: (a) Recommend programmes and priorities for the meetings of WP.29, including the Executive Committee of the Global Agreement and the AC.1t time reserved for the sessions of the Executive Committees of the Agreements administered by WP.29."
AC.1,Administrative Committee of the 1958 Agreemen,2,The secretariat was requested to prepare the list of amendments required and to submit them to Working Party WP.29 and to the AC.1t which would be meeting from 24 to 27 June for the final adoption of the texts (see annex 3).
AC.1,Administrative Committee of the 1958 Agreemen,3,"The WP.29/AC.2 shall: (a) Recommend programmes and priorities for the meetings of WP.29, including the Executive Committee of the Global Agreement and the AC.1t."
AC.1,Administrative Committee of the 1958 Agreemen,4,"The proposal for a new draft Regulation, concerning retrofitting of LPG and CNG equipment to vehicles which were originally designed for petrol or diesel fuelling has been completed and it is on the agenda of the AC.1t."
AC.1,Administrative Committee of the 1958 Agreemen,5,"24), the proposals were considered by the AC.1t at the meeting called on Thursday 14 March 2002, in the morning part of the session."
AC.1,Administrative Committee of the 1958 Agreemen,6,"The proposal for a new draft Regulation, concerning retrofitting of LPG and CNG equipment to vehicles which were originally designed for petrol or diesel fuelling had already been completed in April 2000, however, it remains pending on the agenda of the AC.1t awaiting until the European Community would be ready to adopt it as a Contracting Party to the 1958 Agreement."
AC.1,Administrative Committee of the 1958 Agreement,7,"The WP.29/AC.2 shall: (a) Recommend programmes and priorities for the meetings of WP.29, including the Executive Committee of the Global Agreement and the AC.1 time reserved for the sessions of the Executive Committees of the Agreements administered by WP.29."
AC.1,Administrative Committee of the 1958 Agreement,8,The secretariat was requested to prepare the list of amendments required and to submit them to Working Party WP.29 and to the AC.1 which would be meeting from 24 to 27 June for the final adoption of the texts (see annex 3).
AC.1,Administrative Committee of the 1958 Agreement,9,"The WP.29/AC.2 shall: (a) Recommend programmes and priorities for the meetings of WP.29, including the Executive Committee of the Global Agreement and the AC.1."
AC.1,Administrative Committee of the 1958 Agreement,10,"The proposal for a new draft Regulation, concerning retrofitting of LPG and CNG equipment to vehicles which were originally designed for petrol or diesel fuelling has been completed and it is on the agenda of the AC.1."
AC.1,Administrative Committee of the 1958 Agreement,11,"24), the proposals were considered by the AC.1 at the meeting called on Thursday 14 March 2002, in the morning part of the session."
AC.1,Administrative Committee of the 1958 Agreement,12,"The proposal for a new draft Regulation, concerning retrofitting of LPG and CNG equipment to vehicles which were originally designed for petrol or diesel fuelling had already been completed in April 2000, however, it remains pending on the agenda of the AC.1 awaiting until the European Community would be ready to adopt it as a Contracting Party to the 1958 Agreement."
AC.1,Administrative Committee of the 1958,13,"The WP.29/AC.2 shall: (a) Recommend programmes and priorities for the meetings of WP.29, including the Executive Committee of the Global Agreement and the AC.1 Agreement time reserved for the sessions of the Executive Committees of the Agreements administered by WP.29."
AC.1,Administrative Committee of the 1958,14,The secretariat was requested to prepare the list of amendments required and to submit them to Working Party WP.29 and to the AC.1 Agreement which would be meeting from 24 to 27 June for the final adoption of the texts (see annex 3).
AC.1,Administrative Committee of the 1958,15,"The WP.29/AC.2 shall: (a) Recommend programmes and priorities for the meetings of WP.29, including the Executive Committee of the Global Agreement and the AC.1 Agreement."
AC.1,Administrative Committee of the 1958,16,"The proposal for a new draft Regulation, concerning retrofitting of LPG and CNG equipment to vehicles which were originally designed for petrol or diesel fuelling has been completed and it is on the agenda of the AC.1 Agreement."
