,acronym,actual,prediction,text
0,AC.1,administrative committee of the 1958 agreement,administrative committee of the 1958 agreement,"AC.1 administrative committee of the 1958 agreement administrative committee of the 1958 agreement administrative committee of the 1958 agreement administrative committee of the 1958 agreementThe WP.29/AC.2 shall: (a) Recommend programmes and priorities for the meetings of WP.29, including the Executive Committee of the Global Agreement and the AC.1t time reserved for the sessions of the Executive Committees of the Agreements administered by WP.29."
1,AC.1,administrative committee of the 1958 agreement,administrative committee of the 1958 agreement,AC.1 administrative committee of the 1958 agreement administrative committee of the 1958 agreement administrative committee of the 1958 agreement administrative committee of the 1958 agreementThe secretariat was requested to prepare the list of amendments required and to submit them to Working Party WP.29 and to the AC.1t which would be meeting from 24 to 27 June for the final adoption of the texts (see annex 3).
2,AC.1,administrative committee of the 1958 agreement,administrative committee of the 1958 agreement,"AC.1 administrative committee of the 1958 agreement administrative committee of the 1958 agreement administrative committee of the 1958 agreement administrative committee of the 1958 agreement24), the proposals were considered by the AC.1t at the meeting called on Thursday 14 March 2002, in the morning part of the session."
3,AC.1,administrative committee of the 1958 agreement,administrative committee of the 1958 agreement,"AC.1 administrative committee of the 1958 agreement administrative committee of the 1958 agreement administrative committee of the 1958 agreement administrative committee of the 1958 agreementThe proposal for a new draft Regulation, concerning retrofitting of LPG and CNG equipment to vehicles which were originally designed for petrol or diesel fuelling has been completed and it is on the agenda of the AC.1."
4,AALCO,asian african legal consultative organization,asian african legal consultative organization,"AALCO asian african legal consultative organization asian african legal consultative organization asian african legal consultative organizationThe cooperation item and its sub-items shall read as follows: ""Cooperation between the United Nations and regional and other organizations: ""(a) Cooperation between the United Nations and the Organization of African Unity; ""(b) Cooperation between the United Nations and the Organization of the Islamic Conference; ""(c) Cooperation between the United Nations and the Asian-AALCO; ""(d) Cooperation between the United Nations and the League of Arab States; ""(e) Cooperation between the United Nations and the Latin American Economic System; ""(f) Cooperation between the United Nations and the Organization of American States; ""(g) Cooperation between the United Nations and the Organization for Security and Cooperation in Europe; ""(h) Coope"
5,AALCO,asian african legal consultative organization,asian african legal consultative organization,"AALCO asian african legal consultative organization asian african legal consultative organization asian african legal consultative organizationThe cooperation item and its sub-items shall read as follows: ""Cooperation between the United Nations and regional and other organizations: ""(a) Cooperation between the United Nations and the Organization of African Unity; ""(b) Cooperation between the United Nations and the Organization of the Islamic Conference; ""(c) Cooperation between the United Nations and the AALCO; ""(d) Cooperation between the United Nations and the League of Arab States; ""(e) Cooperation between the United Nations and the Latin American Economic System; ""(f) Cooperation between the United Nations and the Organization of American States; ""(g) Cooperation between the United Nations and the Organization for Security and Cooperation in Europe; ""(h)"
6,GPS,global positioning system,global positioning system,"GPS global positioning system governance peace and security global positioning system140 000 Provision is made for the procurement of the following: (a) A Transpack GPS with accessories ($60,000) for the satellite navigation receiver."
7,GPS,governance peace and security,global positioning system,"GPS global positioning system governance peace and security global positioning systemThe regional consultative meeting of United Nations agencies working in Africa at its fourth session convened in October 2002 established five clusters under the convenership of the following agencies: (a) Infrastructure development: water and sanitation, energy, transport and information and communications technologies, ECA; (b) GPS, United Nations Development Programme (UNDP); (c) Agriculture, trade and market access, Food and Agriculture Organization of the United Nations (FAO); The cluster approach is a vehicle for coordinated response by the United Nations system, designed to enable agencies and organizations of the United Nations system to pool their efforts in support of NEPAD."
8,GPS,global positioning system,global positioning system,"GPS global positioning system governance peace and security global positioning systemght-time line-of-sight visual observation; (ii) Have the capability to detect, identify and categorize persons or items within a range of 1,000 metres or more; (iii) Have the ability to conduct night-time patrols and to intercept missions; (b) Positioning: have the capability to determine the exact geographical location of a person or item within the area of operations through the combined use of GPSs and Laser Range Finders."
9,E-PRTR,european prtr,european prtr,E-PRTR european prtr european pollutant release and transfer register european pollutant release and transfer register european pollutant release and transfer register european pollutant release and transfer registerThe proposal for a Regulation to establish a E-PRTR refers to Directive 2004/3/EC on Access to Environmental Information when dealing with confidentiality.
